YYYYMMDD,Index
19670101,-63
19670102,-46
19670103,68
19670104,60
19670105,54
19670106,-37
19670107,-70
19670108,-243
19670109,-675
19670110,-35
19670111,-44
19670112,24
19670113,-21
19670114,-170
19670115,155
19670116,77
19670117,-73
19670118,-157
19670119,-23
19670120,78
19670121,15
19670122,-21
19670123,-19
19670124,-53
19670125,-24
19670126,-26
19670127,-77
19670128,-27
19670129,15
19670130,-81
19670131,-499
19670201,-49
19670202,20
19670203,-123
19670204,33
19670205,-88
19670206,5
19670207,-135
19670208,8
19670209,-21
19670210,-73
19670211,24
19670212,39
19670213,66
19670214,45
19670215,77
19670216,-8
19670217,139
19670218,52
19670219,-67
19670220,39
19670221,-101
19670222,-73
19670223,-416
19670224,-12
19670225,-273
19670226,-434
19670227,-107
19670228,13
19670301,53
19670302,42
19670303,61
19670304,83
19670305,55
19670306,48
19670307,108
19670308,259
19670309,13
19670310,14
19670311,-21
19670312,-13
19670313,-21
19670314,-103
19670315,-153
19670316,-161
19670317,-59
19670318,-60
19670319,-108
19670320,14
19670321,-81
19670322,-31
19670323,133
19670324,49
19670325,32
19670326,5
19670327,-14
19670328,70
19670329,19
19670330,109
19670331,98
19670401,66
19670402,53
19670403,73
19670404,155
19670405,24
19670406,10
19670407,32
19670408,21
19670409,4
19670410,41
19670411,30
19670412,28
19670413,-9
19670414,46
19670415,9
19670416,-3
19670417,28
19670418,77
19670419,25
19670420,7
19670421,14
19670422,23
19670423,20
19670424,10
19670425,6
19670426,-7
19670427,37
19670428,61
19670429,3
19670430,3
19670501,46
19670502,86
19670503,100
19670504,147
19670505,35
19670506,14
19670507,-2
19670508,115
19670509,56
19670510,9
19670511,21
19670512,-25
19670513,-92
19670514,-28
19670515,-107
19670516,17
19670517,6
19670518,-18
19670519,-181
19670520,-48
19670521,-13
19670522,-32
19670523,22
19670524,27
19670525,-22
19670526,-146
19670527,-157
19670528,-50
19670529,5
19670530,51
19670531,34
19670601,104
19670602,161
19670603,85
19670604,26
19670605,104
19670606,162
19670607,163
19670608,198
19670609,61
19670610,24
19670611,13
19670612,21
19670613,-7
19670614,-7
19670615,52
19670616,78
19670617,22
19670618,16
19670619,43
19670620,130
19670621,171
19670622,100
19670623,39
19670624,16
19670625,0
19670626,-5
19670627,-29
19670628,18
19670629,26
19670630,19
19670701,33
19670702,58
19670703,13
19670704,43
19670705,20
19670706,6
19670707,12
19670708,14
19670709,-35
19670710,-80
19670711,-24
19670712,-8
19670713,-36
19670714,-9
19670715,9
19670716,5
19670717,-36
19670718,-32
19670719,2
19670720,15
19670721,23
19670722,4
19670723,11
19670724,48
19670725,54
19670726,23
19670727,-10
19670728,-15
19670729,8
19670730,13
19670731,14
19670801,23
19670802,40
19670803,44
19670804,55
19670805,68
19670806,60
19670807,-16
19670808,-67
19670809,-10
19670810,1
19670811,7
19670812,3
19670813,1
19670814,6
19670815,17
19670816,22
19670817,0
19670818,-17
19670819,-37
19670820,19
19670821,-14
19670822,5
19670823,15
19670824,-42
19670825,-25
19670826,1
19670827,-65
19670828,-96
19670829,-39
19670830,-34
19670831,-27
19670901,-9
19670902,-75
19670903,-60
19670904,-60
19670905,-33
19670906,-73
19670907,-95
19670908,-11
19670909,-14
19670910,7
19670911,-30
19670912,-166
19670913,-49
19670914,-49
19670915,-69
19670916,-83
19670917,-106
19670918,-108
19670919,-7
19670920,-19
19670921,29
19670922,-126
19670923,-51
19670924,5
19670925,-93
19670926,-76
19670927,7
19670928,-71
19670929,-88
19670930,-33
19671001,7
19671002,-30
19671003,-4
19671004,-14
19671005,-34
19671006,-27
19671007,-157
19671008,-159
19671009,-302
19671010,-83
19671011,15
19671012,-89
19671013,95
19671014,-51
19671015,-56
19671016,-31
19671017,-207
19671018,33
19671019,-188
19671020,-41
19671021,12
19671022,50
19671023,-246
19671024,-6
19671025,-50
19671026,-472
19671027,-15
19671028,32
19671029,-181
19671030,-1
19671031,15
