YYYYMMDD,Index
19670101,-35
19670102,-40
19670103,-58
19670104,-41
19670105,-44
19670106,-103
19670107,11
19670108,-19
19670109,-279
19670110,-175
19670111,-51
19670112,-37
19670113,-95
19670114,-294
19670115,-60
19670116,-60
19670117,-269
19670118,-346
19670119,-97
19670120,-274
19670121,-200
19670122,-155
19670123,-107
19670124,-53
19670125,-105
19670126,-125
19670127,-200
19670128,-403
19670129,-400
19670130,-195
19670131,-258
19670201,-98
19670202,-47
19670203,-191
19670204,-52
19670205,-33
19670206,-18
19670207,-96
19670208,17
19670209,-75
19670210,-80
19670211,-147
19670212,-46
19670213,-12
19670214,-73
19670215,-98
19670216,-192
19670217,-43
19670218,4
19670219,-1
19670220,-19
19670221,-106
19670222,-23
19670223,-31
19670224,-115
19670225,-116
19670226,-312
19670227,-49
19670228,-5
19670301,5
19670302,8
19670303,35
19670304,113
19670305,47
19670306,-59
19670307,43
19670308,1
19670309,-54
19670310,-57
19670311,-24
19670312,-37
19670313,-61
19670314,-92
19670315,-132
19670316,-140
19670317,-118
19670318,-29
19670319,-127
19670320,-130
19670321,-27
19670322,-117
19670323,-147
19670324,-80
19670325,-21
19670326,-127
19670327,-21
19670328,7
19670329,-2
19670330,28
19670331,29
19670401,44
19670402,37
19670403,18
19670404,15
19670405,94
19670406,57
19670407,4
19670408,-9
19670409,6
19670410,38
19670411,-4
19670412,-39
19670413,-13
19670414,7
19670415,-18
19670416,-7
19670417,5
19670418,-5
19670419,11
19670420,10
19670421,-8
19670422,-2
19670423,-5
19670424,-19
19670425,-7
19670426,14
19670427,28
19670428,-5
19670429,-13
19670430,-9
19670501,-6
19670502,7
19670503,20
19670504,5
19670505,22
19670506,-9
19670507,-18
19670508,-7
19670509,-14
19670510,-6
19670511,-35
19670512,-15
19670513,5
19670514,5
19670515,3
19670516,-4
19670517,0
19670518,8
19670519,-2
19670520,-46
19670521,15
19670522,22
19670523,21
19670524,8
19670525,-6
19670526,-26
19670527,-17
19670528,4
19670529,16
19670530,29
19670531,-16
19670601,49
19670602,23
19670603,10
19670604,31
19670605,55
19670606,40
19670607,7
19670608,4
19670609,1
19670610,-9
19670611,11
19670612,2
19670613,-1
19670614,11
19670615,18
19670616,5
19670617,-1
19670618,2
19670619,11
19670620,28
19670621,31
19670622,8
19670623,11
19670624,15
19670625,6
19670626,9
19670627,5
19670628,51
19670629,71
19670630,19
19670701,-8
19670702,6
19670703,22
19670704,2
19670705,12
19670706,0
19670707,20
19670708,10
19670709,-1
19670710,-11
19670711,-19
19670712,-2
19670713,3
19670714,19
19670715,5
19670716,31
19670717,3
19670718,10
19670719,39
19670720,51
19670721,10
19670722,18
19670723,-1
19670724,17
19670725,8
19670726,16
19670727,-7
19670728,-1
19670729,16
19670730,22
19670731,32
19670801,27
19670802,-10
19670803,1
19670804,6
19670805,-7
19670806,-2
19670807,-19
19670808,-3
19670809,9
19670810,21
19670811,32
19670812,150
19670813,91
19670814,47
19670815,35
19670816,26
19670817,11
19670818,-10
19670819,-17
19670820,5
19670821,-4
19670822,0
19670823,1
19670824,-18
19670825,-13
19670826,9
19670827,-4
19670828,-62
19670829,-46
19670830,-15
19670831,-17
19670901,4
19670902,-6
19670903,-22
19670904,-29
19670905,-13
19670906,-94
19670907,-30
19670908,1
19670909,2
19670910,-1
19670911,-81
19670912,-183
19670913,-28
19670914,-58
19670915,-17
19670916,-71
19670917,-49
19670918,29
19670919,-3
19670920,-6
19670921,-11
19670922,-164
19670923,-53
19670924,2
19670925,-160
19670926,-37
19670927,13
19670928,-48
19670929,-22
19670930,-19
19671001,-39
19671002,-100
19671003,-40
19671004,-170
19671005,-97
19671006,-27
19671007,-14
19671008,-163
19671009,-101
19671010,-34
19671011,-3
19671012,-1
19671013,-9
19671014,-47
19671015,16
19671016,-1
19671017,-12
19671018,-2
19671019,-55
19671020,1
19671021,-6
19671022,6
19671023,-3
19671024,-6
19671025,-131
19671026,-97
19671027,-1
19671028,11
19671029,-107
19671030,-7
19671031,0
19671101,-56
19671102,0
19671103,8
19671104,0
19671105,-9
19671106,-17
19671107,-71
19671108,-93
19671109,-59
19671110,-43
19671111,-1
19671112,65
19671113,-11
19671114,-5
19671115,62
19671116,50
19671117,-18
19671118,25
19671119,29
19671120,-2
19671121,74
19671122,81
19671123,19
19671124,-60
19671125,-149
19671126,-147
19671127,-66
19671128,-85
19671129,-53
19671130,-29
19671201,-192
19671202,-66
19671203,-119
19671204,-123
19671205,-29
19671206,-301
19671207,-57
19671208,-20
19671209,-70
19671210,0
19671211,-13
19671212,-188
19671213,-71
19671214,-72
19671215,76
19671216,1
19671217,-20
19671218,-24
19671219,-28
19671220,-65
19671221,-222
19671222,-484
19671223,-305
19671224,-236
19671225,-269
19671226,-57
19671227,-3
19671228,5
19671229,30
19671230,25
19671231,1
19680101,-20
19680102,6
19680103,9
19680104,10
19680105,-58
19680106,-100
19680107,-85
19680108,-54
19680109,-65
19680110,-216
19680111,-153
19680112,-418
19680113,-577
19680114,-301
19680115,-302
19680116,-255
19680117,-165
19680118,-86
19680119,-61
19680120,-5
19680121,-290
19680122,-258
19680123,5
19680124,19
19680125,-6
19680126,-2
19680127,-48
19680128,-45
19680129,-92
19680130,-299
19680131,-415
19680201,-188
19680202,-197
19680203,-547
19680204,-124
19680205,-346
19680206,-171
19680207,-175
19680208,-31
19680209,-39
19680210,-31
19680211,-66
19680212,-49
19680213,-29
19680214,-43
19680215,-26
19680216,-41
19680217,-142
19680218,-152
19680219,-77
19680220,-70
19680221,-114
19680222,-59
19680223,-9
19680224,-36
19680225,-224
19680226,-160
19680227,-18
19680228,-35
19680229,-88
19680301,11
19680302,-53
19680303,-21
19680304,-3
19680305,-7
19680306,-5
19680307,-88
19680308,-82
19680309,-88
19680310,-87
19680311,-339
19680312,-42
19680313,-34
19680314,-25
19680315,-31
19680316,-45
19680317,-60
19680318,-30
19680319,-108
19680320,-175
19680321,-30
19680322,14
19680323,5
19680324,-1
19680325,-107
19680326,-31
19680327,8
19680328,13
19680329,-11
19680330,-8
19680331,-6
19680401,-41
19680402,-75
19680403,-37
19680404,-4
19680405,10
19680406,31
19680407,15
19680408,56
19680409,33
19680410,9
19680411,-15
19680412,-20
19680413,24
19680414,5
19680415,11
19680416,3
19680417,18
19680418,34
19680419,12
19680420,-30
19680421,-140
19680422,-37
19680423,-17
19680424,-17
19680425,1
19680426,6
19680427,36
19680428,17
19680429,24
19680430,-13
19680501,-32
19680502,15
19680503,6
19680504,13
19680505,23
19680506,-16
19680507,-23
19680508,-6
19680509,-3
19680510,29
19680511,-3
19680512,-10
19680513,-29
19680514,-1
19680515,18
19680516,12
19680517,-2
19680518,-4
19680519,-2
19680520,-20
19680521,-4
19680522,-4
19680523,-5
19680524,-4
19680525,0
19680526,1
19680527,3
19680528,13
19680529,17
19680530,22
19680531,3
19680601,-1
19680602,7
19680603,5
19680604,0
19680605,0
19680606,8
19680607,-18
19680608,-11
19680609,-9
19680610,-27
19680611,11
19680612,8
19680613,19
19680614,3
19680615,1
19680616,-2
19680617,-2
19680618,-16
19680619,35
19680620,49
19680621,26
19680622,13
19680623,-32
19680624,-5
19680625,5
19680626,11
19680627,13
19680628,1
19680629,0
19680630,6
19680701,11
19680702,3
19680703,1
19680704,-1
19680705,10
19680706,4
19680707,-59
19680708,-34
19680709,2
19680710,4
19680711,12
19680712,8
19680713,19
19680714,7
19680715,2
19680716,2
19680717,0
19680718,5
19680719,5
19680720,9
19680721,1
19680722,-17
19680723,-24
19680724,-10
19680725,-21
19680726,-6
19680727,4
19680728,-4
19680729,-7
19680730,7
19680731,21
19680801,16
19680802,13
19680803,5
19680804,1
19680805,-21
19680806,-8
19680807,2
19680808,1
19680809,3
19680810,-6
19680811,-18
19680812,-12
19680813,-1
19680814,9
19680815,-6
19680816,-52
19680817,-7
19680818,-6
19680819,2
19680820,-1
19680821,1
19680822,2
19680823,1
19680824,-4
19680825,-14
19680826,-3
19680827,-6
19680828,-27
19680829,-5
19680830,-41
19680831,-7
19680901,-4
19680902,-27
19680903,-53
19680904,-62
19680905,0
19680906,-5
19680907,-14
19680908,-3
19680909,-13
19680910,-15
19680911,-16
19680912,-21
19680913,-173
19680914,-43
19680915,1
19680916,2
19680917,-2
19680918,-6
19680919,-18
19680920,-31
19680921,-20
19680922,-23
19680923,-53
19680924,-31
19680925,-30
19680926,-51
19680927,28
19680928,26
19680929,8
19680930,9
19681001,-91
19681002,-163
19681003,-2
19681004,-5
19681005,-5
19681006,3
19681007,-8
19681008,-15
19681009,-2
19681010,-15
19681011,-26
19681012,-12
19681013,-12
19681014,-4
19681015,-11
19681016,-100
19681017,-23
19681018,-118
19681019,-34
19681020,-77
19681021,-157
19681022,-27
19681023,-155
19681024,-25
19681025,-11
19681026,-136
19681027,-2
19681028,-16
19681029,-3
19681030,-2
19681031,-20
19681101,-304
19681102,-55
19681103,-21
19681104,-183
19681105,-81
19681106,-183
19681107,-98
19681108,-57
