YYYYMMDD,Index
19670101,-42
19670102,-206
19670103,-181
19670104,-15
19670105,-36
19670106,-58
19670107,11
19670108,1
19670109,-262
19670110,-196
19670111,-51
19670112,-47
19670113,-78
19670114,-228
19670115,-61
19670116,-23
19670117,-169
19670118,-179
19670119,-83
19670120,-298
19670121,-198
19670122,-119
19670123,-65
19670124,-57
19670125,-123
19670126,-143
19670127,-230
19670128,-411
19670129,-356
19670130,-229
19670131,-279
19670201,-113
19670202,-63
19670203,-132
19670204,-60
19670205,-19
19670206,25
19670207,-79
19670208,7
19670209,-87
19670210,-79
19670211,-153
19670212,-81
19670213,-41
19670214,-104
19670215,-107
19670216,-96
19670217,-27
19670218,32
19670219,7
19670220,22
19670221,-40
19670222,-42
19670223,-73
19670224,-208
19670225,-169
19670226,-331
19670227,-56
19670228,-14
19670301,7
19670302,43
19670303,56
19670304,188
19670305,16
19670306,-14
19670307,39
19670308,-81
19670309,-81
19670310,-46
19670311,-7
19670312,-112
19670313,-65
19670314,-92
19670315,-85
19670316,-85
19670317,-72
19670318,-51
19670319,-191
19670320,-143
19670321,-18
19670322,-162
19670323,-164
19670324,-87
19670325,-10
19670326,-97
19670327,-14
19670328,9
19670329,-4
19670330,43
19670331,36
19670401,84
19670402,37
19670403,14
19670404,21
19670405,115
19670406,49
19670407,11
19670408,-25
19670409,-2
19670410,82
19670411,-82
19670412,-98
19670413,-11
19670414,23
19670415,-68
19670416,8
19670417,14
19670418,-3
19670419,11
19670420,-1
19670421,-39
19670422,-7
19670423,-9
19670424,-25
19670425,-8
19670426,25
19670427,47
19670428,-11
19670429,-20
19670430,-10
19670501,-9
19670502,5
19670503,11
19670504,-4
19670505,8
19670506,-18
19670507,-21
19670508,-17
19670509,-17
19670510,-12
19670511,-65
19670512,-18
19670513,2
19670514,6
19670515,2
19670516,-12
19670517,-2
19670518,8
19670519,-1
19670520,-55
19670521,11
19670522,20
19670523,17
19670524,8
19670525,-4
19670526,-26
19670527,-16
19670528,5
19670529,16
19670530,25
19670531,-12
19670601,36
19670602,25
19670603,12
19670604,35
19670605,43
19670606,26
19670607,7
19670608,2
19670609,-3
19670610,-7
19670611,8
19670612,5
19670613,-2
19670614,7
19670615,11
19670616,5
19670617,0
19670618,3
19670619,9
19670620,25
19670621,21
19670622,4
19670623,10
19670624,18
19670625,5
19670626,9
19670627,6
19670628,50
19670629,77
19670630,14
19670701,-4
19670702,8
19670703,21
19670704,0
19670705,23
19670706,4
19670707,21
19670708,5
19670709,-4
19670710,-15
19670711,-13
19670712,1
19670713,5
19670714,15
19670715,6
19670716,40
19670717,3
19670718,17
19670719,47
19670720,46
19670721,9
19670722,15
19670723,3
19670724,21
19670725,9
19670726,11
19670727,-21
19670728,-1
19670729,17
19670730,31
19670731,49
19670801,17
19670802,-7
19670803,3
19670804,10
19670805,6
19670806,-2
19670807,-20
19670808,-3
19670809,11
19670810,14
19670811,35
19670812,175
19670813,93
19670814,49
19670815,56
19670816,39
19670817,26
19670818,-10
19670819,-16
19670820,4
19670821,-6
19670822,-2
19670823,1
19670824,-6
19670825,-8
19670826,6
19670827,-3
19670828,-47
19670829,-47
19670830,-16
19670831,-19
19670901,1
19670902,-7
19670903,-31
19670904,-22
19670905,-2
19670906,-47
19670907,26
19670908,6
19670909,0
19670910,-2
19670911,-84
19670912,-134
19670913,-15
19670914,-54
19670915,18
19670916,-68
19670917,-30
19670918,51
19670919,8
19670920,-3
19670921,-15
19670922,-150
19670923,-31
19670924,14
19670925,-144
19670926,21
19670927,18
19670928,-40
19670929,-17
19670930,-19
19671001,-71
19671002,-126
19671003,-60
19671004,-95
19671005,-34
19671006,-9
19671007,-15
19671008,-145
19671009,-87
19671010,-36
19671011,-3
19671012,1
19671013,-2
19671014,-18
19671015,12
19671016,-1
19671017,-12
19671018,-10
19671019,-66
19671020,-4
19671021,-11
19671022,5
19671023,-3
19671024,-8
19671025,-136
19671026,-55
19671027,-5
19671028,4
19671029,-99
19671030,-8
19671031,1
19671101,-24
19671102,71
19671103,37
19671104,4
19671105,-8
19671106,-24
19671107,-73
19671108,-82
19671109,-47
19671110,-53
19671111,34
19671112,194
19671113,17
19671114,2
19671115,107
19671116,120
19671117,-11
19671118,79
19671119,56
19671120,47
19671121,59
19671122,90
19671123,-43
19671124,-127
19671125,-114
19671126,-83
19671127,-33
19671128,-133
19671129,-38
19671130,-48
19671201,-195
19671202,-117
19671203,-233
19671204,-148
19671205,-16
19671206,-273
19671207,-40
19671208,-19
19671209,-111
19671210,-28
19671211,-16
19671212,-98
19671213,45
19671214,-36
19671215,54
19671216,-4
19671217,-23
19671218,-6
19671219,-21
19671220,-58
19671221,-169
19671222,-322
19671223,-158
19671224,-143
19671225,-187
19671226,-32
19671227,-1
19671228,16
19671229,50
19671230,25
19671231,-8
19680101,15
19680102,25
19680103,-13
19680104,18
19680105,-60
19680106,-92
19680107,-92
19680108,-46
19680109,-109
19680110,-248
19680111,-154
19680112,-356
19680113,-441
19680114,-279
19680115,-334
19680116,-273
19680117,-213
19680118,-158
19680119,-101
19680120,-28
19680121,-297
19680122,-176
19680123,1
19680124,20
19680125,10
19680126,12
19680127,-74
19680128,-59
19680129,-133
19680130,-270
19680131,-348
19680201,-151
19680202,-117
19680203,-374
19680204,-120
19680205,-360
19680206,-182
19680207,-77
19680208,20
19680209,-23
19680210,-12
19680211,-45
19680212,-36
19680213,-14
19680214,-29
19680215,-24
19680216,-44
19680217,-102
19680218,-118
19680219,-86
19680220,-96
19680221,-160
19680222,-98
19680223,-13
19680224,-41
19680225,-202
19680226,-132
19680227,22
19680228,-21
19680229,-77
19680301,17
19680302,-53
19680303,-11
19680304,-6
19680305,-9
19680306,-8
19680307,-84
19680308,-78
19680309,-72
19680310,-81
19680311,-282
19680312,-41
19680313,-30
19680314,-29
19680315,-31
19680316,-58
19680317,-68
19680318,-41
19680319,-131
19680320,-130
19680321,-10
19680322,6
19680323,1
19680324,-3
19680325,-105
19680326,-31
19680327,5
19680328,4
19680329,-24
19680330,-6
19680331,-6
19680401,-53
19680402,-76
19680403,-32
19680404,3
19680405,13
19680406,28
19680407,16
19680408,42
19680409,13
19680410,-9
19680411,-8
19680412,-7
19680413,26
19680414,-2
19680415,21
19680416,14
19680417,-24
19680418,8
19680419,11
19680420,-34
19680421,-133
19680422,-44
19680423,-27
19680424,-19
19680425,0
19680426,13
19680427,24
19680428,6
19680429,15
19680430,-13
19680501,-25
19680502,6
19680503,9
19680504,30
19680505,22
19680506,-24
19680507,-23
19680508,3
19680509,-4
19680510,22
19680511,-14
19680512,-29
19680513,-39
19680514,-6
19680515,7
19680516,14
19680517,-3
19680518,-5
19680519,-6
19680520,-24
19680521,-3
19680522,-6
19680523,-4
19680524,-2
19680525,1
19680526,-1
19680527,2
19680528,11
19680529,14
19680530,18
19680531,2
19680601,-8
19680602,4
19680603,4
19680604,0
19680605,-1
19680606,6
19680607,-15
19680608,-9
19680609,-6
19680610,-29
19680611,8
19680612,10
19680613,15
19680614,1
